data,hora,taxa
2025/07/09,11:04:54,15.366509962892897
2025/07/09,11:04:55,14.6179658436391
2025/07/09,11:04:56,14.594252672083279
2025/07/09,11:04:57,15.38651750447128
2025/07/09,11:04:58,15.371109846872084
2025/07/09,11:04:59,14.93184661872064
2025/07/09,11:05:00,14.814645831181306
2025/07/09,11:05:01,15.133631471937127
2025/07/09,11:05:02,14.997629878206341
2025/07/09,11:05:03,15.174772472054237
2025/07/09,11:22:18,14.401843436792117
2025/07/09,11:22:19,15.111527503109556
2025/07/09,11:22:20,14.768361863493048
2025/07/09,11:22:21,14.59278926005029
2025/07/09,11:22:22,15.017982921851413
2025/07/09,11:22:23,14.88046871307346
2025/07/09,11:22:24,15.268388980096908
2025/07/09,11:22:25,15.036835533638278
2025/07/09,11:22:26,14.615484203139147
2025/07/09,11:22:27,14.948640580393485
2025/07/14,05:43:35,15.169182627258166
2025/07/14,05:43:36,14.664558873781328
2025/07/14,05:43:37,14.422813728517369
2025/07/14,05:43:38,14.409195844487979
2025/07/14,05:43:39,14.52376300090307
2025/07/14,05:43:40,14.481179349777207
2025/07/14,05:43:41,15.235061690589633
2025/07/14,05:43:42,15.333208224735301
2025/07/14,05:43:43,15.379591493504549
2025/07/14,05:43:44,14.620530199126991
2025/07/14,05:51:23,15.15873912853487
2025/07/14,05:51:24,15.352326633857457
2025/07/14,05:51:25,14.948297541900502
2025/07/14,05:51:26,15.314257649709559
2025/07/14,05:51:27,14.885491174377199
2025/07/14,05:51:28,14.996293376895766
2025/07/14,05:51:29,15.276091709129679
2025/07/14,05:51:30,15.318721413093447
2025/07/14,05:51:31,14.685727909980375
2025/07/14,05:51:32,15.10622464565627
2025/07/14,05:52:14,14.573781310423826
2025/07/14,05:52:15,14.71966656669888
2025/07/14,05:52:16,14.725626301411475
2025/07/14,05:52:17,15.035767721881824
2025/07/14,05:52:18,14.776054462351102
2025/07/14,05:52:19,14.703435245156705
2025/07/14,05:52:20,15.20591463533955
2025/07/14,05:52:21,15.228368515388528
2025/07/14,05:52:22,14.530322168595852
2025/07/14,05:52:23,14.949884205307567
